Year,Rank,Player,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,First,Pts Won,Pts Max
2008,2,Chris Paul,22,NOH,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,28,894,1260
2008,3,Kevin Garnett,31,BOS,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,15,670,1260
2008,4,LeBron James,23,CLE,75,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,1,438,1260
2008,5,Dwight Howard,22,ORL,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,0,60,1260
2008,6,Amar'e Stoudemire,25,PHO,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,0,27,1260
2008,7,Tim Duncan,31,SAS,78,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,0,25,1260
2008,8,Tracy McGrady,28,HOU,66,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,0,19,1260
2008,9,Steve Nash,33,PHO,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,0,18,1260
2008,10,Manu Ginobili,30,SAS,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,0,9,1260
2008,11,Dirk Nowitzki,29,DAL,77,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,0,5,1260
2008,12,Deron Williams,23,UTA,82,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,0,4,1260
2008,13,Carmelo Anthony,23,DEN,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,0,3,1260
2008,14T,Carlos Boozer,26,UTA,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,0,1,1260
2008,14T,Antawn Jamison,31,WAS,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,0,1,1260
2008,14T,Paul Pierce,30,BOS,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,0,1,1260
2008,14T,Rasheed Wallace,33,DET,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,0,1,1260
2007,1,Dirk Nowitzki,28,DAL,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,83,1138,1290
2007,2,Steve Nash,32,PHO,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,44,1013,1290
2007,3,Kobe Bryant,28,LAL,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,2,521,1290
2007,4,Tim Duncan,30,SAS,80,34.1,20,10.6,3.4,0.8,2.4,0.546,0.111,0.637,0,286,1290
2007,5,LeBron James,22,CLE,78,40.9,27.3,6.7,6,1.6,0.7,0.476,0.319,0.698,0,183,1290
2007,6,Tracy McGrady,27,HOU,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,0,110,1290
2007,7,Chris Bosh,22,TOR,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,0,43,1290
2007,8,Gilbert Arenas,25,WAS,74,39.8,28.4,4.6,6,1.9,0.2,0.418,0.351,0.844,0,31,1290
2007,9T,Carlos Boozer,25,UTA,74,34.6,20.9,11.7,3,0.9,0.3,0.561,0,0.685,0,7,1290
2007,9T,Kevin Garnett,30,MIN,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,0,7,1290
2007,11,Chauncey Billups,30,DET,70,36.2,17,3.4,7.2,1.2,0.2,0.427,0.345,0.883,0,4,1290
2007,12T,Shaquille O'Neal,34,MIA,40,28.4,17.3,7.4,2,0.2,1.4,0.591,0,0.422,0,3,1290
